Product Name,External_ID,Product ID
"Oliver Apartment Sofa, Heavy Cloth, Charcoal",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.NT-3385-96.Leg001-1,
"Oliver Apartment Sofa, Heavy Cloth, Coffee",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.NT-3385-69.Leg001-1,
"Oliver Apartment Sofa, Heavy Cloth, Ivory",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.NT-3385-1.Leg001-1,
"Oliver Apartment Sofa, Heavy Cloth, Midnight Blue",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.NT-3385-19.Leg001-1,
"Oliver Apartment Sofa, Heavy Cloth, Natural",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.NT-3385-99.Leg001-1,
"Oliver Apartment Sofa, Heavy Cloth, Ore",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.NT-3385-216A.Leg001-1,
"Oliver Apartment Sofa, Heavy Cloth, Panther",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.NT-3385-4.Leg001-1,
"Oliver Apartment Sofa, Heavy Cloth, Slate",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.NT-3385-93.Leg001-1,
"Oliver Apartment Sofa, Mod Velvet, Blush",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.AK-618-175.Leg001-1,
"Oliver Apartment Sofa, Mod Velvet, Elephant",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.AK-618-18.Leg001-1,
"Oliver Apartment Sofa, Mod Velvet, Greige",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.AK-618-16.Leg001-1,
"Oliver Apartment Sofa, Mod Velvet, Narwhal",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.AK-618-40.Leg001-1,
"Oliver Apartment Sofa, Mod Velvet, Quartz",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.AK-618-12.Leg001-1,
"Oliver Apartment Sofa, Mod Velvet, Sapphire",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.AK-618-25.Leg001-1,
"Oliver Apartment Sofa, Pebble Weave, Basin",,
"Oliver Apartment Sofa, Pebble Weave, Cocoa",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.NT-3335-307.Leg001-1,
"Oliver Apartment Sofa, Pebble Weave, Dove",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.NT-3335-21.Leg001-1,
"Oliver Apartment Sofa, Pebble Weave, Linen",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.NT-3335-1.Leg001-1,
"Oliver Apartment Sofa, Pebble Weave, Storm",OLIV.FABRIC.SOFA.APRTMT.LENGTH-74.NT-3335-204.Leg001-1,
