Product Name,Product Type (Variant),SKU,URL,
"William Sofa, Vance Emerald",Configurable,233645-C,https://www.highfashionhome.com/william-sofa-vance-emerald.html,
"Benson Sofa, Vance Forest",Simple,249596,https://www.highfashionhome.com/benson-sofa-vance-forest.html,
"Blair Sofa, Crevere Cream",Configurable,248103-C,https://www.highfashionhome.com/blair-sofa-crevere-cream.html,
"Kellen Sectional, Crevere Cream",Simple,252909-252909-252910,https://www.highfashionhome.com/kellen-sectional-crevere-cream.html,
"Andre Sofa, Graceland Slate",Simple,244109,https://www.highfashionhome.com/andre-sofa-graceland-slate.html,
"Benson Sectional, Crevere Cream",Configurable,249560-249561-C,https://www.highfashionhome.com/benson-sectional-crevere-cream.html,
,,,,
Camino Swivel Chair,Simple,237253,https://www.highfashionhome.com/camino-swivel-chair.html,
"Camino Swivel Chair, Ivory",Simple,246756,https://www.highfashionhome.com/camino-swivel-chair-1.html,
"Maxx Leather Swivel Chair, Destroyed Black",Simple,236701,https://www.highfashionhome.com/maxx-leather-swivel-chair-destroyed-black.html,
"Brooks Leather Lounge Chair, Ebony",Simple,059705,https://www.highfashionhome.com/brooks-lounge-chair-ebony.html,
"Ellis Occasional Chair, Beige",Simple,233795,https://www.highfashionhome.com/ellis-occasional-chair-beige.html,
"Lena Sheepskin Chair, White",Simple,247770,https://www.highfashionhome.com/layla-sheepskin-chair-white-1.html,
Buddha Chair,Simple,058720,https://www.highfashionhome.com/buddha-chair.html,
"Element Club Chair, Poratti Natural",Configurable,255531-256697-256698,https://www.highfashionhome.com/element-club-chair.html,
"Braden Leather Chair, Durango Smoke",Simple,250587,https://www.highfashionhome.com/braden-leather-chair-durango-smoke.html,
,,,,
"Gaultier Oval Coffee Table, Gold",Simple,110367,https://www.highfashionhome.com/gaultier-coffee-table.html,
"Teak Roof Coffee Table, Large",Simple,026713-C,https://www.highfashionhome.com/teak-root-coffee-table.html,
Teak Block Coffee Table,Simple,229554,https://www.highfashionhome.com/teak-block-coffee-table.html,
Estelle Rectangle Mirror Cocktail Table,Simple,012317,https://www.highfashionhome.com/estelle-rectangle-mirror-cocktail-table.html,
"Shagreen Nesting Coffee Table, Brass",Simple,252798,https://www.highfashionhome.com/shagreen-nesting-coffee-table-brass.html,
"Tulip Side Table, White Marble",Simple,240117,https://www.highfashionhome.com/tulip-side-table-with-white-marble.html,
,,,,
Salon Media Console,Simple,058847,https://www.highfashionhome.com/salon-media-console.html,
Adagio Buffet,Simple,175974,https://www.highfashionhome.com/adagio-buffet.html,
New York Sideboard,Simple,055649,https://www.highfashionhome.com/new-york-sideboard.html,
German Silver Console,Simple,255342,https://www.highfashionhome.com/german-silver-console.html,
Carleton Entertainment Console,Simple,257073,https://www.highfashionhome.com/carleton-entertainment-console-1.html,
,,,,
