3D Asset?,Prop ID,Link,Brand,Prop Name,Size,Color,Modsy Color,Vendor Style #/ SKU,Retail,Ghost Product,Living Room,Dining Room,Family Room,Office,Guest Room,Master Bedroom,Guest Bedroom,Kid's Room,Nursery,Entry,Studio,Open Living / Dining Room,Price Point,Pet-Friendly,Kid-Friendly,Mod Visionary,Rustic Warmth,Mod Enthusiast,Atomic Industrial,Mod Collector,Contemporary Connoisseur,Refined Rustic,Contemporary Minimalist,Elegant Connoisseur,Modern Rustic,Refined Modern,Mid-Century Chic,Industrial Visionary,Chic Collector,Comfortably Chic,Updated Traditional,Rustic Traveler,Contemporary Collector,Reclaimed Visionary,Discerning Collector,Less is More Chic,Inviting Industrial,Refined Connoisseur,Urban Collector,Classic Collector,Refined Industrial,Urban Traditional,Vintage Farmhouse,Modern Vintage,Industrial Chic,Farmhouse Chic,Refined Farmhouse,Timeless Traditional,Traditional Collector,Rustic Minimalist,Traditionally Chic,Cost
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Charcoal 3'-6"" x 5'-6""",,,Grey,CAPPCAP-03CC003656,$219.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$89.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Charcoal 5'-0"" x 7'-6""",,,Grey,CAPPCAP-03CC005076,$379.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$155.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Charcoal 7'-6"" x 9'-6""",,,Grey,CAPPCAP-03CC007696,$719.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$299.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Charcoal 9'-3"" X 13'",,,Grey,CAPPCAP-03CC0093D0,"$1,419.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$589.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Indigo 3'-6"" x 5'-6""",,,Blue,CAPPCAP-03IN003656,$219.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$89.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Indigo 5'-0"" x 7'-6""",,,Blue,CAPPCAP-03IN005076,$379.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$155.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Indigo 7'-6"" x 9'-6""",,,Blue,CAPPCAP-03IN007696,$719.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$299.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Indigo 9'-3"" X 13'",,,Blue,CAPPCAP-03IN0093D0,"$1,419.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$589.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Ivory 3'-6"" x 5'-6""",,,Beige,CAPPCAP-01IV003656,$219.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$89.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Ivory 5'-0"" x 7'-6""",,,Beige,CAPPCAP-01IV005076,$379.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$155.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Ivory 7'-6"" x 9'-6""",,,Beige,CAPPCAP-01IV007696,$719.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$299.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Ivory 9'-3"" X 13'",,,Beige,CAPPCAP-01IV0093D0,"$1,419.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$589.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Silver 3'-6"" x 5'-6""",,,Silver,CAPPCAP-02SI003656,$219.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$89.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Silver 5'-0"" x 7'-6""",,,Silver,CAPPCAP-02SI005076,$379.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$155.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Silver 7'-6"" x 9'-6""",,,Silver,CAPPCAP-02SI007696,$719.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$299.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Silver 9'-3"" X 13'",,,Silver,CAPPCAP-02SI0093D0,"$1,419.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$589.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Teal 3'-6"" x 5'-6""",,,Blue,CAPPCAP-04TE003656,$219.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$89.00 
,,,Loloi,"Caspia-Loloi X Justina Blakeney Collection Teal 5'-0"" x 7'-6""",,,Blue,CAPPCAP-04TE005076,$379.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,,,X,,X,,,X,,,,,,X,,$155.00 
