EXTERNAL_ID,Item Name,Quantity on Hand,Next ETA Date,COST,Preferred Price,Shipping Method,Ship date,Shipping Fee,Handling Fee,Shipping Total,Shipping Lead Time,MSRP,MAP,Avg. LOW Competitive Price,Avg. HIGH Competitive Price,PRICE,RETURN & EXCHANGES,Modsy Product ID,3D Asset,Updated in Warehouse,Checked/Removed from Collections,Link to site
7120116,Stella Table Lamp,0,OOS,$218.75,$175.00,FDX,N/A,,,,,$619.00,$299.00,,not coming up when searching - only one as out of stock,$389.00,30 days*,34182,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/lighting/lamps/table-lamp-12339.html
3623247,"Demilune Console Table, Driftwood",0,02/14/2018,$353.75,$283.00,FDX-OS,2/14/2018,,,,,$999.00,$589.00,$589.00,$999.00,$589.00,30 days*,28642,yes,12/26/17 - KM,,http://www.butlerspecialty.net/skilling-5599.html
2251247,"Cobble Hill Console Table, Driftwood",0,01/29/2018,$227.50,$182.00,FDX,1/29/2018,,,,,$639.00,$349.00,$292.00,$339.00,$349.00,30 days*,28651,yes,1/12/18 - KM,,http://www.butlerspecialty.net/cobble-hill-3345.html
5103978,Berkeley Pouf,0,03/23/2018,$108.75,$87.00,FDX-OS,3/23/2018,,,,,$309.00,$189.00,$154.00,$184.00,$189.00,30 days*,28656,yes,1/12/18 - KM,,
9337354,Forster Campaign Cabinet,0,1/26/2018,$416.25,$333.00,FDX-OS,2/14/2018,,,,,"$1,169.00",$699.00,$593.00,$689.00,$689.00,30 days*,28683,yes,,,
5152330,Yeager Console Cabinet,0,02/23/2018,"$1,012.50",$810.00,LTL (Threshold),2/14/2018,$209.00,,,,"$2,839.00","$1,509.00","$1,082.42","$1,097.17","$1,509.00",30 days*,28685,yes,1/12/18 - KM,,
9306295,Easterbrook Chest,0,02/01/2018,$378.75,$303.00,LTL (Threshold),2/14/2018,$209.00,,,,"$1,069.00",$639.00,$619.00,$719.00,$719.00,30 days*,32782,yes,12/26/17 - KM,,http://www.butlerspecialty.net/products/consoles-chests/chests-cabinets/drawer-chest-5191.html
3382140,Stockholm Etagere,0,01/30/2018,$252.50,$202.00,FDX-OS,2/14/2018,,,,,$709.00,$429.00,$367.00,$428.81,$429.00,30 days*,32788,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/bookcase-etageres/etageres/stockholm.html
3722344,Melton Stool,0,01/26/2018,$121.25,$97.00,FDX,2/14/2018,,,,,$339.00,$189.00,$154.00,$179.00,$189.00,30 days*,32792,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/seating/becnhes/stool-9458.html
9352295,Easterbrook Chairside Chest Nightstand,0,02/07/2018,$252.50,$202.00,FDX-OS,2/14/2018,,,,,$709.00,$429.00,$326.00,$379.00,$379.00,30 days*,32804,yes,12/26/17 - KM,,http://www.butlerspecialty.net/products/tables/chairside-chests/easterbrook-3718.html
