EXTERNAL_ID,PRICE
6015.RJAV,"$1,799.00"
6015.SW,"$1,349.00"
6017.RJAV,$578.00
6017.SW,$578.00
6027.RJAV/NAT,$678.00
6031.RJAV,$999.00
6031.SW,$999.00
6045.SW,$829.00
6047.SW,"$1,749.00"
6048.NG,$679.00
6048.RJAV,$639.00
6049.NG,"$1,609.00"
6049.RJAV,"$1,499.00"
6066.SW/GLS,"$1,089.00"
6070.RJAV,"$1,349.00"
6071.NG/BSTL,$749.00
6072.NG/BSTL,"$1,799.00"
6098.BGLD/WHT,"$2,249.00"
6120.GRY-SHG/GLD,"$1,049.00"
6120.WHT-SHG/GLD,"$1,049.00"
6122.GRY-SHG/GLD,"$2,099.00"
6122.WHT-SHG/GLD,"$2,099.00"
6415-BSUP.RJAV/BIS,$249.00
6415-BSUP.SW/BIS,$249.00
6415-CSUP.RJAV/BIS,$249.00
6415-CSUP.SW/BIS,$249.00
6419UP.BIS,$738.00
6430UP.BIS-GLD/SW,$549.00
6430UP.EGRY-GLD/RJ,$549.00
6808BS.PLA/LGRY,$529.00
6808BS.SND/LGRY,$529.00
6808CS.PLA/LGRY,$529.00
6808CS.SND/LGRY,$529.00
6808KD.PLA/LGRY,$818.00
6808KD.SND/LGRY,$818.00
6809KD.PLA/LGRY,$898.00
6809KD.SND/LGRY,$898.00
6817.PLA/LGRY,$859.00
6817.SND/LGRY,$859.00
6818.PLA,$299.00
6826.GT,$599.00
7116UP.OAT,$749.00
7130.JUTG,$249.00
7147-CSUP.SMK-PSL,$429.00
8027-L.SGRY-ELM,"$1,129.00"
8027.SGRY-ELM,$899.00
8040.SGRY-PNE,"$2,249.00"
8053.SGRY-PNE/GRY,$749.00
8230-0.CHNT,$209.00
8230-0.PRL,$209.00
8213.SND/W,$829.00
8213.SHGRY/W,$829.00
7116UP.SCSLA-BT,$749.00
6090.RJAV,"$1,799.00"
8200-3.PRL-SL/W,"$2,799.00"
6422UP.BIS-BT/RJAV,$749.00
