3D Asset?,Prop ID,Link,Brand,Prop Name,Size,Color,Modsy Color,EXTERNAL_ID,Retail,Ghost Product,Living Room,Dining Room,Family Room,Office,Guest Room,Master Bedroom,Guest Bedroom,Kid's Room,Nursery,Entry,Studio,Open Living / Dining Room,Price Point,Pet-Friendly,Kid-Friendly,Mod Visionary,Rustic Warmth,Mod Enthusiast,Atomic Industrial,Mod Collector,Contemporary Connoisseur,Refined Rustic,Contemporary Minimalist,Elegant Connoisseur,Modern Rustic,Refined Modern,Mid-Century Chic,Industrial Visionary,Chic Collector,Comfortably Chic,Updated Traditional,Rustic Traveler,Contemporary Collector,Reclaimed Visionary,Discerning Collector,Less is More Chic,Inviting Industrial,Refined Connoisseur,Urban Collector,Classic Collector,Refined Industrial,Urban Traditional,Vintage Farmhouse,Modern Vintage,Industrial Chic,Farmhouse Chic,Refined Farmhouse,Timeless Traditional,Traditional Collector,Rustic Minimalist,Traditionally Chic,Cost
,,,Bhawan Textiles,"Beatty Beige/Ivory 2'-6"" X 7'-6""",,,Beige,BEATBEA-02BEIV2676,$179.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$59.00 
,,,Bhawan Textiles,"Beatty Beige/Ivory 3'-6"" x 5'-6""",,,Beige,BEATBEA-02BEIV3656,$199.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$65.00 
,,,Bhawan Textiles,"Beatty Beige/Ivory 5'-0"" x 7'-6""",,,Beige,BEATBEA-02BEIV5076,$329.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$109.00 
,,,Bhawan Textiles,"Beatty Beige/Ivory 7'-9"" x 9'-9""",,,Beige,BEATBEA-02BEIV7999,$679.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$225.00 
,,,Bhawan Textiles,"Beatty Beige/Ivory 9'-3"" X 13'",,,Beige,BEATBEA-02BEIV93D0,"$1,219.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$405.00 
,,,Bhawan Textiles,"Beatty Grey/Ivory 2'-6"" X 7'-6""",,,Grey,BEATBEA-01GYIV2676,$179.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$59.00 
,,,Bhawan Textiles,"Beatty Grey/Ivory 3'-6"" x 5'-6""",,,Grey,BEATBEA-01GYIV3656,$199.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$65.00 
,,,Bhawan Textiles,"Beatty Grey/Ivory 5'-0"" x 7'-6""",,,Grey,BEATBEA-01GYIV5076,$329.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$109.00 
,,,Bhawan Textiles,"Beatty Grey/Ivory 7'-9"" x 9'-9""",,,Grey,BEATBEA-01GYIV7999,$679.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$225.00 
,,,Bhawan Textiles,"Beatty Grey/Ivory 9'-3"" X 13'",,,Grey,BEATBEA-01GYIV93D0,"$1,219.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$405.00 
,,,Bhawan Textiles,"Beatty Grey/Multi 2'-6"" X 7'-6""",,,Grey,BEATBEA-03GYML2676,$179.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$59.00 
,,,Bhawan Textiles,"Beatty Grey/Multi 3'-6"" x 5'-6""",,,Grey,BEATBEA-03GYML3656,$199.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$65.00 
,,,Bhawan Textiles,"Beatty Grey/Multi 5'-0"" x 7'-6""",,,Grey,BEATBEA-03GYML5076,$329.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$109.00 
,,,Bhawan Textiles,"Beatty Grey/Multi 7'-9"" x 9'-9""",,,Grey,BEATBEA-03GYML7999,$679.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$225.00 
,,,Bhawan Textiles,"Beatty Grey/Multi 9'-3"" X 13'",,,Grey,BEATBEA-03GYML93D0,"$1,219.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$405.00 
,,,Bhawan Textiles,"Beatty Ivory/Rust 2'-6"" X 7'-6""",,,Beige,BEATBEA-01IVRU2676,$179.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$59.00 
,,,Bhawan Textiles,"Beatty Ivory/Rust 3'-6"" x 5'-6""",,,Beige,BEATBEA-01IVRU3656,$199.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$65.00 
,,,Bhawan Textiles,"Beatty Ivory/Rust 5'-0"" x 7'-6""",,,Beige,BEATBEA-01IVRU5076,$329.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$109.00 
,,,Bhawan Textiles,"Beatty Ivory/Rust 7'-9"" x 9'-9""",,,Beige,BEATBEA-01IVRU7999,$679.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$225.00 
,,,Bhawan Textiles,"Beatty Ivory/Rust 9'-3"" X 13'",,,Beige,BEATBEA-01IVRU93D0,"$1,219.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$405.00 
,,,Bhawan Textiles,"Beatty LightBlue/Multi 2'-6"" X 7'-6""",,,Blue,BEATBEA-04LBML2676,$179.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$59.00 
,,,Bhawan Textiles,"Beatty LightBlue/Multi 3'-6"" x 5'-6""",,,Blue,BEATBEA-04LBML3656,$199.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$65.00 
,,,Bhawan Textiles,"Beatty LightBlue/Multi 5'-0"" x 7'-6""",,,Blue,BEATBEA-04LBML5076,$329.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$109.00 
,,,Bhawan Textiles,"Beatty LightBlue/Multi 7'-9"" x 9'-9""",,,Blue,BEATBEA-04LBML7999,$679.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$225.00 
,,,Bhawan Textiles,"Beatty LightBlue/Multi 9'-3"" X 13'",,,Blue,BEATBEA-04LBML93D0,"$1,219.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$405.00 
,,,Bhawan Textiles,"Beatty Lt.Blue/Blue 2'-6"" X 7'-6""",,,Blue,BEATBEA-01LBBB2676,$179.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$59.00 
,,,Bhawan Textiles,"Beatty Lt.Blue/Blue 3'-6"" x 5'-6""",,,Blue,BEATBEA-01LBBB3656,$199.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,X,X,,,X,X,,X,,X,,,X,,,X,X,X,X,X,X,$65.00 
