3D Asset?,Prop ID,Link,Brand,Prop Name,Size,Color,Modsy Color,EXTERNAL_ID,Retail,Ghost Product,Living Room,Dining Room,Family Room,Office,Guest Room,Master Bedroom,Guest Bedroom,Kid's Room,Nursery,Entry,Studio,Open Living / Dining Room,Price Point,Pet-Friendly,Kid-Friendly,Mod Visionary,Rustic Warmth,Mod Enthusiast,Atomic Industrial,Mod Collector,Contemporary Connoisseur,Refined Rustic,Contemporary Minimalist,Elegant Connoisseur,Modern Rustic,Refined Modern,Mid-Century Chic,Industrial Visionary,Chic Collector,Comfortably Chic,Updated Traditional,Rustic Traveler,Contemporary Collector,Reclaimed Visionary,Discerning Collector,Less is More Chic,Inviting Industrial,Refined Connoisseur,Urban Collector,Classic Collector,Refined Industrial,Urban Traditional,Vintage Farmhouse,Modern Vintage,Industrial Chic,Farmhouse Chic,Refined Farmhouse,Timeless Traditional,Traditional Collector,Rustic Minimalist,Traditionally Chic,WHOLESALE_COST
,,,Aidyn Decor,"Clover Table Lamp, White","16.5"" x 28""",,White,BL1716-TL22,199,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,X,,X,,X,X,,X,,,X,X,,,X,,,,,,X,,X,,,,,,,,,,,,,X,95
,,,Aidyn Decor,"Marina Table Lamp, Blue","15"" x 21.5""",,Blue,BL216-TL2,199,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,,,,,,,,,,,,X,,X,,,,,,,X,,X,,,,X,,X,,,X,,X,95
,,,Aidyn Decor,"Wallace Table Lamp, Brass","6.5"" x 30.5""",,Brown,BL216-TL3B,179,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,,,,,X,,X,,,X,,X,,,,,,,,,,,,,,,,X,X,,,X,,X,90
,,,Aidyn Decor,"Ashwell Table Lamp, White","14"" x 23""",,White,BL217-TL7,159,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,X,,,,X,X,X,,X,,,,,,X,,,,,X,,,,,,,,,,X,X,,,X,,80
,,,Aidyn Decor,"Ripple Table Lamp, Grey","15"" x 22""",,Grey,BL217-TL8,159,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,,,,,X,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,X,,80
,,,Aidyn Decor,"Tabitha Table Lamp, Blue","16"" x 32""",,Blue,BL616-TL32,179,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,,,,,,,X,,,,,X,,,,X,,X,X,,,,X,,,,,,,,,X,,X,90
,,,Aidyn Decor,"Rope Table Lamp, Cream","16.5"" x 26.5""",,White,BL616-TL39,179,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,X,,,,X,X,,,X,,,,,,,X,X,,,,,,,,,,,,,X,X,,,X,,85
,,,Aidyn Decor,"Bungalow Table Lamp, Blue","10"" x 19.75""",,Blue,BL716-TL3BL,119,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,,X,,X,,,,,X,,,,X,,,X,X,,,X,,,,,,,,,,X,,,X,,X,60
,,,Aidyn Decor,"Bungalow Table Lamp, Green","10"" x 19.75""",,Green,BL716-TL3GR,119,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,,X,,X,,,,,X,,,,X,,,X,X,,,X,,,,,,,,,,X,,,X,,X,60
,,,Aidyn Decor,"Vivian Table Lamp, Blue","16.5"" x 28.5""",,Blue,BL916-TL1,179,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,,,,X,X,,,X,,,,,,X,,X,,,,,,,X,,,X,,,X,,X,X,,X,85
