Item,PRICE,EXTERNAL_ID
Bellamy Side,$152.00,1153-DR-801EC
Velma Bar Cart,$699.00,2496-LR-471EC
Grimes Dining Table,$659.00,2971-700-474 EC
Hessel Dining Table,$659.00,2972-700-474
Hanover SQ Cocktail,$504.00,3025-131EC
Hanover Rect End,$556.00,3025-200EC
Hanover Round End,$394.00,3025-220EC
Hanover Console,$556.00,3025-400EC
Kinzie Rect Dining Table,"$1,100.00",3170-600B-TEC
Emery Round End,$328.00,3194-220EC
Emery Console,$438.00,3194-400
Samara Side,$174.00,3234-DR-801EC
Paxton Side,$144.00,3237-DR-800
Receli Scatter Table,$199.00,3366-LR-223
Flaubert Cocktail Ottoman,$598.00,3370-LR-120
Bealer Scatter Table,$349.00,3425-LR-223
Dillon Scatter Table,$198.00,3500-LR-223
Dillon Console,$358.00,3500-LR-400
Shipley SQ Cocktail,$698.00,4350-LR-130
Shipley SQ End,$558.00,4350-LR-250
Seabreeze Bar Cart,$598.00,4590-LR-471
Buxton Parsons,$198.00,4940-DR-800
Buxton Bunching Cube,$278.00,4940-LR-133
Roma Wall Mirror,$314.00,6357-1764EC
Old Faithful,$206.00,7200-997
Summer Solitude,$240.00,7300-136
Blue Theory,$306.00,7300-178A
Ring of Fire,$262.00,7300-282EC
Silver Ribbons,$218.00,7300-330EC
Silver Landscape,$262.00,7300-342EC
Grey Monument,$319.00,7300-445
Aiken Wall Hanging,$199.00,7500-675
Infinite Swirl I,$258.00,9901-218A
Infinite Swirl II,$258.00,9901-218B
Indigo Impressions I,$178.00,9901-272A
Indigo Impressions III,$178.00,9901-272B
Indigo Impressions IV,$178.00,9901-272C
Indigo Impressions V,$178.00,9901-272E
Indigo Impressions VIII,$178.00,9901-272F
Indigo Impressions IX,$178.00,9901-272G
Weathered Wood Patterns VII,$178.00,9901-312A
Weathered Wood Patterns IX,$178.00,9901-312B
Weathered Wood Patterns V,$178.00,9901-312C
Weathered Wood Patterns III,$178.00,9901-312E
Garvey Hospitality Cabinet,"$1,099.00",A2289
Sampson RD End,$379.00,A2341EC
Sampson RD End,$310.00,A2342EC
Clover Scatter Table,$265.00,A2344EC
Calder Scatter Table,$349.00,A2414EC
Perrine Hospitality Cabinet,$879.00,A2430
Marney Bar Cart,$399.00,A2436EC
Carnaby Round,$610.00,D2789-700-095EC
Esmond Arm,$276.00,DACH42-813EC
Bradley Arm,$310.00,DACH98-832EC
Addison Parson Chair,$179.00,DPCH100-834
Addison Parson Chair,$179.00,DPCH100-835
Addison Parson Chair,$179.00,DPCH100-834
Fortnum II,$264.00,DPCH15-739AEC
Skirted Parsons,$160.00,DPCH8-739EC
Skirted Parsons,$160.00,DPCH8-746EC
Portman Table Lamp,$192.00,L2491TEC
Telestar Floor Lamp,$219.00,L2598FEC
Arcadia Table Lamp,$216.00,L2757TEC
Shell Table Lamp,$338.00,L2800TEC
Nassau Table Lamp,$262.00,L2864TEC
Lawton Table Lamp,$199.00,L2944TEC
Conklin Table Lamp,$219.00,L2956TEC
Davis Table Lamp,$262.00,L2963TEC
Wallace Table Lamp,$199.00,L2977TEC
Maroa Table Lamp,$179.00,L3001TEC
Dalton Table Lamp,$199.00,L3080T
Anna Table Lamp,$196.00,L3088TEC
Saline Table Lamp,$218.00,L3161TEC
Malta Table Lamp,$199.00,L3233TEC
Braylin Table Lamp,$199.00,L3234TEC
Madeline Table Lamp,$262.00,L3271TEC
Jonas Table Lamp,$199.00,L3302TEC
Kersey Table Lamp,$262.00,L3311TEC
Elmore Table Lamp,$218.00,L3325TEC
Brannan Table Lamp,$199.00,L3332TEC
Sydney Table Lamp,$199.00,L3335TEC
Savona Table Lamp,$199.00,L3343TEC
Libby Table Lamp,$199.00,L3346TEC
Stella Table Lamp,$199.00,L3347TEC
Seaside Table Lamp,$218.00,L3406FEC
Branka Table Lamp,$196.00,L3418T
Bridwell Table Lamp,$199.00,L3430TEC
Bridwell Table Lamp,$199.00,L3430TEC
Kiawah Table Lamp,$218.00,L3543T
Lakeland Table Lamp,$158.00,L3544T
Rayne Table Lamp,$238.00,L3548T
Mabel Table Lamp,$198.00,L3573T
Lara Table Lamp,$238.00,L3612T
Beaded Wall Mirror,$439.00,M1946BEC
Beaded Leaner Mirror,$685.00,M2546B
Parker Wall Mirror,$299.00,M3200B
Chequers Wall Mirror,$365.00,M3222B
"Beaded Wall Mirror 48""",$369.00,M3340B
Beaded Wall Mirror,$285.00,M3341B
Granby Wall Mirror,$362.00,M3595
Illyria Wall Mirror,$369.00,M3615
Winslow Wall Mirror,$319.00,M3638B
Logan Wall Mirror,$344.00,M3644
Sadie Wall Mirror,$230.00,M3645B
Rope Wall Mirror,$229.00,M3646EC
Elberta Wall Mirror,$209.00,M3665
Myrna Wall Mirror,$209.00,M3666
Quinn Wall Mirror,$269.00,M3667B
Emerson Wall Mirror,$199.00,M3675
Dayton Wall Mirror,$179.00,M3717B
Kirk Wall Mirror,$416.00,M3718
Mallory Wall Mirror,$328.00,M3745
Mina Wall Mirror,$219.00,M3750
Reagan Wall Mirror,$259.00,M3779B
Pinole Leaner Mirror,$685.00,M3838
Haines Wall Mirror,$350.00,M3927
Hudson Wall Mirror,$139.00,M3934B
Delany Wall Mirror,$394.00,M4093B
Dawson Wall Mirror,$499.00,M4097
Arlington Wall Mirror,$318.00,M4152B
Eltham Wall Mirror,$598.00,M4153
Calista Wall Mirror,$558.00,M4154
Brigitte Wall Mirror,$398.00,M4155
Giorgio Wall Mirror,$398.00,M4156
Westbury Wall Mirror,$239.00,M4170B
Gillis Wall Mirror,$159.00,M4215
Sophia Wall Mirror,$278.00,M4225
Kuna Wall Mirror,$239.00,M4235B
Pemberton Rect End,$456.00,T2527-200EC
Hitchcock SQ Cocktail,$504.00,T2618-131EC
Hitchcock Rect End,$560.00,T2618-200EC
Hitchcock RD End,$394.00,T2618-220EC
Hitchcock Console,$560.00,T2618-400EC
Fouquet Rect Cocktail,$458.00,T2739-100EC
Fouquet Rect End,$458.00,T2739-200EC
Fouquet Tea Cart,$580.00,T2739-471EC
Perrine Hospitality Cabinet,$879.00,A2430EC
Garvey Hospitality Cabinet ,"$1,099.00",A2289EC
Ania Table Lamp,$298.00,L3615T
Viola Table Lamp,$318.00,L3559T
Adara Table Lamp,$196.00,L3386T
Raywick Table Lamp,$265.00,L3129TEC
Halle Table Lamp,$265.00,L3203TEC
Arielle Table Lamp,$249.00,L3194TEC
Normandie Table Lamp,$249.00,L3210TEC
Cailla Table Lamp,$249.00,L3247TEC
Discontinued,$249.00,L3251TEC
Kiana Table Lamp,$299.00,L3273TEC
Redding Table Lamp,$299.00,L3288TEC
Malibu Table Lamp,$299.00,L3304TEC
Nikola Table Lamp,$299.00,L3305TEC
Bethany Table Lamp,$299.00,L3314TEC
Landon Table Lamp,$299.00,L3315TEC
Adara Table Lamp,$196.00,L3386TEC
Carrigan Table Lamp,$299.00,L3316TEC
Adjacent Abstraction I,$239.00,9901-334A
Adjacent Abstraction II,$239.00,9901-334B
Mythos I,$239.00,9901-330A
Mythos II,$239.00,9901-330B
Lynwood Rect Dining Table,$798.00,4580-DR-600
Emery Round End,$328.00,3194-220EC
Blue Lines,$526.00,7300-167TEC
Dalton Table Lamp,$196.00,L3080TEC
Murano 5 Drawer Chest,"$1,936.00",T2624-920EC
Murano 6 Drawer Chest,"$2,182.00",T2624-910EC
Murano Mini-Chest,"$1,136.00",T2624-990EC
Nina Table Lamp,$199.00,L3336TEC
Seaside Table Lamp,$218.00,L3107TEC
