Intro,Prop ID,Item,Color,Material,Size,Category,Vendor,EXTERNAL_ID,WHOLESALE_COST,PRICE,Shipping
,,Harriet Velvet Rectangular Pillow,Gold,Velvet,"14x20""",Solid Pillow,Classic Home,V150765,$19.50,$49.50,small fedex parcel
,,Harriet Velvet Rectangular Pillow,Red,Velvet,"14x20""",Solid Pillow,Classic Home,V150768,$19.50,$49.50,small fedex parcel
,,Harriet Velvet Rectangular Pillow,Terra Cotta,Velvet,"14x20""",Solid Pillow,Classic Home,V170107,$19.50,$49.50,small fedex parcel
,,Harriet Velvet Rectangular Pillow,Purple,Velvet,"14x20""",Solid Pillow,Classic Home,V140033,$19.50,$49.50,small fedex parcel
,,Harriet Velvet Rectangular Pillow,Ivory,Velvet,"14x20""",Solid Pillow,Classic Home,V150769,$19.50,$49.50,small fedex parcel
,,Harriet Velvet Rectangular Pillow,Brown,Velvet,"14x20""",Solid Pillow,Classic Home,V120677,$19.50,$49.50,small fedex parcel
,,Harriet Velvet Rectangular Pillow,Grey,Velvet,"14x20""",Solid Pillow,Classic Home,V150766,$19.50,$49.50,small fedex parcel
,,Harriet Velvet Rectangular Pillow,Blue,Velvet,"14x20""",Solid Pillow,Classic Home,V120646,$19.50,$49.50,small fedex parcel
,,Harriet Velvet Rectangular Pillow,Navy,Velvet,"14x20""",Solid Pillow,Classic Home,V150767,$19.50,$49.50,small fedex parcel
,,Harriet Velvet Rectangular Pillow,Green,Velvet,"14x20""",Solid Pillow,Classic Home,V160041,$19.50,$49.50,small fedex parcel
,,Harriet Velvet Square Pillow,Gold,Velvet,"18x18""",Solid Pillow,Classic Home,V150760,$22.50,$49.50,small fedex parcel
,,Harriet Velvet Square Pillow,Red,Velvet,"18x18""",Solid Pillow,Classic Home,V150763,$22.50,$49.50,small fedex parcel
,,Harriet Velvet Square Pillow,Terra Cotta,Velvet,"18x18""",Solid Pillow,Classic Home,V170106,$22.50,$49.50,small fedex parcel
,,Harriet Velvet Square Pillow,Purple,Velvet,"18x18""",Solid Pillow,Classic Home,V140019,$22.50,$49.50,small fedex parcel
,,Harriet Velvet Square Pillow,Ivory,Velvet,"18x18""",Solid Pillow,Classic Home,V150764,$22.50,$49.50,small fedex parcel
,,Harriet Velvet Square Pillow,Brown,Velvet,"18x18""",Solid Pillow,Classic Home,V120448,$22.50,$49.50,small fedex parcel
,,Harriet Velvet Square Pillow,Grey,Velvet,"18x18""",Solid Pillow,Classic Home,V150761,$22.50,$49.50,small fedex parcel
,,Harriet Velvet Square Pillow,Blue,Velvet,"18x18""",Solid Pillow,Classic Home,V120455,$22.50,$49.50,small fedex parcel
,,Harriet Velvet Square Pillow,Navy,Velvet,"18x18""",Solid Pillow,Classic Home,V150762,$22.50,$49.50,small fedex parcel
,,Harriet Velvet Square Pillow,Green,Velvet,"18x18""",Solid Pillow,Classic Home,V160040,$22.50,$49.50,small fedex parcel
,,Chloe Velvet Square Pillow,Ivory,Velvet,"20x20""",Solid Pillow,Classic Home,V150790,$34.50,$85.50,small fedex parcel
,,Chloe Velvet Square Pillow,Taupe,Velvet,"20x20""",Solid Pillow,Classic Home,V150791,$34.50,$85.50,small fedex parcel
,,Chloe Velvet Square Pillow,Brown,Velvet,"20x20""",Solid Pillow,Classic Home,V150792,$34.50,$85.50,small fedex parcel
,,Chloe Velvet Square Pillow,Grey,Velvet,"20x20""",Solid Pillow,Classic Home,V150793,$34.50,$85.50,small fedex parcel
,,Chloe Velvet Square Pillow,Charcoal,Velvet,"20x20""",Solid Pillow,Classic Home,V150794,$34.50,$85.50,small fedex parcel
,,Chloe Velvet Square Pillow,Yellow,Velvet,"20x20""",Solid Pillow,Classic Home,V150795,$34.50,$85.50,small fedex parcel
