,Mid-Century,Modern,Global Inspired,Rustic,Glam,Traditional,Industrial ,Transitional,Costal,Classic
Mod Enthusiast,x,x,,,,,,,,
Contemporary Minimalist,,x,,,,,,x,,
Refined Farmhouse,,,,x,,,,,,
Industrial Visionary,,x,,,,,x,,,
Discerning Collector,,,x,,,,,,,
Less is More Chic,,,,,x,,,,,
Rustic Minimalist,,,,x,,,,,,
Refined Connoisseur,,,,,,,,,,x
Mod Visionary,x,,,,,,,x,,
Modern Rustic,x,,,x,,,,,,
Atomic Industrial,x,,,,,,x,x,,
Mod Collector,x,,x,,,,,,,
Mid-Century Chic,x,,,,x,,,,,
Modern Vintage,x,,,,,,,,,
Refined Modern,x,,,,,,,,,x
Rustic Warmth ,,,,x,,,,x,,
Inviting Industrial,,,,,,,x,x,,
Contemporary Collector,,,x,,,,,x,,
Comfortably Chic,,,,,x,,,x,,
Updated Traditional,,,,,,x,,,,
Contemporary Connoisseur,,,,,,,,,x,x
Reclaimed Visionary,,,,X,,,x,,,
Rustic Traveler,,,x,x,,,,,,
Farmhouse Chic,,,,x,,,,,,
Vintage Farmhouse,,,,x,,x,,,,
Refined Rustic,,,,x,,,,,x,x
Urban Collector,,,,,,,x,,,
Industrial Chic,,,,,,,x,,,
Urban Traditional,,,,,,x,,,,
Refined Industrial,,,,x,,,x,,,
Chic Collector ,,,,,x,,,,,
Traditional Collector,,,,,,x,,,,
Classic Collector,,,x,,,,,,,x
Traditionally Chic,,,,,x,x,,,,
Elegant Connoisseur,,,,,x,,,,,x
Timeless Traditional,,,,,,x,,,,
