Mini Category,Opening Max,High Min
armchair,800,1000
accent chair,800,1000
bench,400,800
bench; custom product,400,800
bench; storage; coat rack,400,800
chair,800,1000
chair; custom product,800,1000
chaise,800,1000
ottoman,400,800
pouf,200,400
stool,200,400
swivels/gliders,800,1000
custom product; armchair,800,1000
upholstery fabric; armchair,800,1000
swivels/gliders; accent chair,800,1000
recliners,800,1000
accent rugs,400,700
rug; area rugs,400,700
area rugs,400,700
hallway runners,400,700
mats,400,700
rug,400,700
interior define sofa,1000,1800
sofa; interior define sofa,1000,1800
loveseat,1000,1800
sectional,1500,2700
sleepers,1000,1800
sofa,1000,1800
sofa; custom product,1000,1800
sectional; upholstery fabric; interior define sofa,1500,2700
bar,400,1000
bar cart,400,1000
bar chair,200,400
bar stool,200,400
bar; bar cart,400,1000
buffet,400,1000
cabinet,1000,1600
cabinet; credenza,1000,1600
cabinet; custom product,1000,1600
storage; cabinet; credenza; office storage; bar cabinet; sideboard,1000,1600
counter stools,200,400
counter tables,200,400
credenza,1000,1600
dining chair,300,500
dining table,1000,2000
dining table; custom product,1000,2000
stool; counter stools,200,400
side chair,300,500
sideboard,400,1000
sideboards & buffets,400,1000
table,1000,2000
wine rack,400,1000
table; dining table,1000,2000
accessory,50,100
accessory; basket,50,100
accessory; vase,50,100
accessory; tray,50,100
basket,50,100
books,50,100
bookends,50,100
bowls,50,100
candle,25,75
candleholders,25,75
clock ,50,100
desk clocks,50,100
decorative objects,50,100
decorative trays,50,100
decorative bowl,50,100
decorative box,50,100
frame,50,100
lantern,25,75
lighting; candle,25,75
mirror; tray,50,100
picture frames,50,100
plant,50,100
planter,50,100
planter; plant,50,100
plant holders,50,100
sculpture,50,100
sculpture; candle,50,100
tray; serveware,50,100
tray,50,100
trees,50,100
vase,50,100
wall clocks,50,100
accent table,200,400
accent table,200,400
coffee table,400,900
console table,400,900
side table,200,400
side table; custom product,200,400
side table; custom product,200,400
stool; side table,200,400
bed,1000,1700
bed; custom product,1000,1700
cabinet; nightstand,300,500
drawer,1000,1600
dresser,1000,1600
headboard,1000,1700
mattress,,
nightstand,300,500
platform bed,1000,1700
storage bed,1000,1700
daybed,1000,1700
chandelier,300,700
floor lamp,150,250
lighting,150,250
lighting; floor lamp,150,250
pendant,300,700
sconce,300,700
table lamp,150,250
armoire,1000,1600
book & magazine racks,300,500
bookcase,500,1500
mirror; storage,200,400
coat rack,50,100
hooks,50,100
shelf,50,100
shelving,50,100
storage,50,100
storage bins & baskets,50,100
storage; wall shelf; office storage; custom product; kids furniture; shelf,50,100
storage; cabinet; credenza; office storage; bar cabinet; sideboard,50,100
wall shelf,50,100
bench; storage; coat rack,50,100
entry & mudroom storage,50,100
wardrobe,1000,1700
bedding,,
curtain,,
decorative pillows,60,99
duvet cover,,
pillow,60,99
shade,,
throw,150,300
desk,1000,1600
desk chair,300,700
desk; custom product,1000,1600
file cabinet,1000,1600
office storage,1000,1600
media console,1000,1600
media console; console table,400,900
media console; credenza,400,900
tv stand; custom product,400,900
tv stand,400,900
media console; console table,400,900
wall art,250,400
wall art; frame,250,400
wall art; wall sculpture,250,400
wall sculpture,200,350
outdoor,,
none,,
chair; outdoor,,
game table,,
fireplace accessories,,
kitchen supplies,,
bath rugs & mats,,
serveware,,
glassware,,
tv,,
custom product,,
decanter,,
crib,,
bed; kids furniture,,
kids furniture; toy,,
toy,,
play tents,,
wall mirrors,200,400
floor mirrors,200,400
type--mirror,200,400
mirror,200,400
