Current Category,New Category,Living Room,Dining Room,Family Room,Office,Guest Room,Master Bedroom,Guest Bedroom,Kid's Room,Nursery,Entry,Studio,Open Living / Dining Room
Accent Rugs,Rugs,X,X,X,X,X,X,X,X,X,X,X,X
Accent Table,Accent Table,X,,X,X,X,X,X,X,X,,X,X
Accessory,"Objects(Need to pull what is in this and divide out)",X,X,X,X,X,X,X,X,X,X,X,X
Area Rugs,Rugs,X,X,X,X,X,X,X,X,X,X,X,X
armchair,Accent Chair,X,,X,X,X,X,X,,,X,X,X
Bar,Bar Cabinet,X,X,X,,,,,,,,X,X
Bar Cabinet,Bar Cabinet,X,X,X,,,,,,,,X,X
bar cart,Bar Cart,X,X,X,,,,,,,,X,X
Bar Stool,Bar Stool- Bar Height,,X,,,,,,,,,,X
Basket,Baskets,X,X,X,X,X,X,X,X,X,X,X,X
Bed,Beds & Headboards,,,,X,X,X,X,,,,X,
Bedding,Bedding,,,,X,X,X,X,,,,X,
Bench,Benches & Stools,X,X,X,X,X,X,X,X,X,X,X,X
Bench; Custom Product,Benches & Stools,X,X,X,X,X,X,X,X,X,X,X,X
Bookcase,Bookcase and Shelving,X,X,X,X,X,X,X,X,X,X,X,X
Bookends,Objects,X,X,X,X,X,X,X,X,X,X,X,X
Buffet,Buffet & Credenza,,X,,,,,,,,,X,X
bunk bed ,Kids Bedroom Furniture,,,,,,,,X,X,,,
Cabinet,Storage & Organization,X,,X,X,X,X,X,,,,X,X
Candle,Candle and Candle Holders,X,X,X,X,X,X,X,X,X,X,X,X
Chair,"Accent Chair(Need to pull what is in this and divide out)",X,,X,X,X,X,X,,,X,X,X
Chair; armchair,"Accent Chair(Need to pull what is in this and divide out)",X,,X,X,X,X,X,,,X,X,X
Chaise,Chaise,X,X,X,,,X,,,,,X,X
Chandelier,"Pendants, Chandeliers and sconces",X,X,X,X,X,X,X,X,X,X,X,X
Changing Table,Changing Table,,,,,,,,X,X,,,
Clock ,Clocks,X,X,X,X,X,X,X,X,X,X,X,X
Coat Rack,Closet Storage,X,X,X,X,X,X,X,X,X,X,X,X
Coffee Table,Coffee Table,X,,,,,,,,,,X,X
Coffee Table; Logan Industrial Storage Coffee Table,Coffee Table,X,,,,,,,,,,X,X
Console Table,Console Table,X,,X,,,,,,,,X,X
Counter Stools,Bar Stool- Counter Height,,X,,,,,,,,,,X
Counter Tables,Bar Table,,X,,,,,,,,,,X
Credenza,Buffet & Credenza,,X,,,,,,,,,X,X
Curtain,Drapes,X,X,X,X,X,X,X,X,X,X,X,X
Custom Product,Custom Product,X,X,X,X,X,X,X,X,X,X,X,X
Daybed,Sofa; Sleepers,X,,X,X,,,,,,,X,X
Decanter,Table Top,,X,,,,,,,,,X,X
Decorative Box,"Cannisters, Trays & Boxes",X,X,X,X,X,X,X,X,X,X,X,X
Decorative Box,"Cannisters, Trays & Boxes",X,X,X,X,X,X,X,X,X,X,X,X
Desk,Desk,X,,X,X,X,X,X,,,,X,X
Desk Chair,Desk Chair,X,,X,X,X,X,X,,,,X,X
Dining Chair,"Dining Side Chair(Need to pull what is in this and divide out)",,X,,,,,,,,,X,X
Dining Chair; Chair,"Dining Arm Chair(Need to pull what is in this and divide out)",,X,,,,,,,,,X,X
Dining Table,Dining Table,,X,,,,,,,,,X,X
Drawer,Dresser,,,,,X,X,X,,,,X,
Dresser,Dresser,,,,,X,X,X,,,,X,
Duvet Cover,Bedding,,,,X,X,X,X,,,,X,
Etagere,Bookcase and Shelving,X,X,X,X,X,X,X,X,X,X,X,X
Extras,Objects,X,X,X,X,X,X,X,X,X,X,X,X
Fan,Fan,X,X,X,X,X,X,X,X,X,X,X,X
File Cabinet,Office Storage & Organization,,,,X,,,,,,,X,
Floor Lamp,Floor Lamp,X,X,X,X,X,X,X,X,X,X,X,X
Frame,Frames,X,X,X,X,X,X,X,X,X,X,X,X
Game Table,Game Table,X,,X,,,,,,,,X,X
Glassware,Table Top,,X,,,,,,,,,X,X
hooks,Closet Storage,X,X,X,X,X,X,X,X,X,X,X,X
Interior Define Sofa,Sofa,X,,X,X,,,,,,,X,X
Kids Furniture,Kids Furniture,X,,X,,,,,X,X,,,X
Kitchen Supplies,Table Top,,X,,,,,,,,,X,X
Lighting,"Table Lamp(Need to pull what is in this and divide out)",X,X,X,X,X,X,X,X,X,X,X,X
Lighting; Candle,Candle and Candle Holders,X,X,X,X,X,X,X,X,X,X,X,X
Lighting; Floor Lamp,Floor Lamp,X,X,X,X,X,X,X,X,X,X,X,X
Lighting; Pendant,"Pendants, Chandeliers and scounces",X,X,X,X,X,X,X,X,X,X,X,X
Loveseat,Sofa,X,,X,X,,,,,,,X,X
Mattress,Mattress,,,,X,X,X,X,X,X,,X,X
Media Console,Media,X,,X,X,X,X,X,,,,X,X
Media Console; Console Table,Media,X,,X,X,X,X,X,,,,X,X
Mirror,Mirror,X,X,X,X,X,X,X,X,X,X,X,X
Mirror; Storage,Mirror,X,X,X,X,X,X,X,X,X,X,X,X
Nightstand,Nightstand,,,,,X,X,X,,,,X,
None,None,,,,,,,,,,,,
Office Storage,Office Storage & Organization,,,,X,,,,,,,X,
Ottoman,Ottomans & Pouffs,X,,X,X,X,X,X,X,X,X,X,X
Outdoor,Outdoor,X,,,,,,,,,X,X,X
Pendant,"Pendants, Chandeliers and scounces",X,X,X,X,X,X,X,X,X,X,X,X
Photography,Prints and Photography,X,X,X,X,X,X,X,X,X,X,X,X
Pillow,Decorative Pillows,X,,X,X,X,X,X,X,X,X,X,X
Plant,Plants & Planters,X,X,X,X,X,X,X,X,X,X,X,X
Planter,Plants & Planters,X,X,X,X,X,X,X,X,X,X,X,X
Planter; Plant,Plants & Planters,X,X,X,X,X,X,X,X,X,X,X,X
Pouf,Ottomans & Pouffs,X,,X,X,X,X,X,X,X,X,X,X
Recliners,"Rockers, Sliders & Recliners",X,,X,X,,,,X,X,,X,X
Rugs,Rugs,X,X,X,X,X,X,X,X,X,X,X,X
Rugs; Area Rugss,Rugs,X,X,X,X,X,X,X,X,X,X,X,X
Sconce,"Pendants, Chandeliers and scounces",X,X,X,X,X,X,X,X,X,X,X,X
Sculpture,Objects,X,X,X,X,X,X,X,X,X,X,X,X
Sectional,Sectionals,X,,X,,,,,,,,X,X
Sectional; Sleepers,Sectionals; Sleepers,X,,X,,,,,,,,X,X
Serveware,Table Top,,X,,,,,,,,,X,X
Shelf,Bookcase and Shelving,X,X,X,X,X,X,X,X,X,X,X,X
Shelving,Bookcase and Shelving,X,X,X,X,X,X,X,X,X,X,X,X
Side Chair,"Dining Side Chair(Need to pull what is in this and divide out)",,X,,,,,,,,,X,X
Side Chair; Chair; Upholstery Fabric,"Dining Side Chair(Need to pull what is in this and divide out)",,X,,,,,,,,,X,X
Side Chair; Dining Chair; Chair; Upholstery Fabric,"Dining Side Chair(Need to pull what is in this and divide out)",,X,,,,,,,,,X,X
Side Table,Side Table,X,,X,,,,,,,,X,X
Side Table; Accent Table,Accent Table,X,,X,X,X,X,X,X,X,,X,X
Sideboard,Buffet & Credenza,,X,,,,,,,,,X,X
Sleepers,Sofa; Sleepers,X,,X,X,,,,,,,X,X
